date,strategy,asset,weight
2011-02-28,Proposed Strategy,QQQ,0.24999999828282043
2011-02-28,Proposed Strategy,IWM,0.2499999961435709
2011-02-28,Proposed Strategy,EFA,4.608532135312948e-09
2011-02-28,Proposed Strategy,EEM,0.07202833378453422
2011-02-28,Proposed Strategy,TLT,0.0
2011-02-28,Proposed Strategy,IEF,0.0
2011-02-28,Proposed Strategy,SHY,0.0
2011-02-28,Proposed Strategy,LQD,6.711366383164843e-10
2011-02-28,Proposed Strategy,HYG,2.8269442239289767e-09
2011-02-28,Proposed Strategy,GLD,0.0590494868667736
2011-02-28,Proposed Strategy,DBC,0.1189221243789997
2011-02-28,Proposed Strategy,VNQ,0.2499999994560161
2011-02-28,Proposed Strategy,BIL,2.02555983785366e-09
2011-03-31,Equal Weight,SPY,0.07692307692307694
2011-03-31,Equal Weight,QQQ,0.07692307692307694
2011-03-31,Equal Weight,IWM,0.07692307692307694
2011-03-31,Equal Weight,EFA,0.07692307692307694
2011-03-31,Equal Weight,EEM,0.07692307692307694
2011-03-31,Equal Weight,TLT,0.07692307692307694
2011-03-31,Equal Weight,IEF,0.07692307692307694
2011-03-31,Equal Weight,SHY,0.07692307692307694
2011-03-31,Equal Weight,LQD,0.07692307692307694
2011-03-31,Equal Weight,HYG,0.07692307692307694
2011-03-31,Equal Weight,GLD,0.07692307692307694
2011-03-31,Equal Weight,DBC,0.07692307692307694
2011-03-31,Equal Weight,VNQ,0.07692307692307694
2011-03-31,Equal Weight,BIL,0.0
2011-03-31,Minimum Variance,SPY,0.038567930895034394
2011-03-31,Minimum Variance,QQQ,0.0005555293890290682
2011-03-31,Minimum Variance,IWM,1.9223195849327305e-07
2011-03-31,Minimum Variance,EFA,7.787913689999016e-08
2011-03-31,Minimum Variance,EEM,6.991164863044483e-08
2011-03-31,Minimum Variance,TLT,1.7977756128210793e-07
2011-03-31,Minimum Variance,IEF,0.2499994927987559
2011-03-31,Minimum Variance,SHY,0.24999994336148715
2011-03-31,Minimum Variance,LQD,0.17911725203175305
2011-03-31,Minimum Variance,HYG,0.24999915531193032
2011-03-31,Minimum Variance,GLD,0.031758981487148466
