date,asset,score,alpha
2011-01-31,SPY,0.5491219965416575,0.016473659896249725
2011-01-31,QQQ,1.5455528004766015,0.046366584014298044
2011-01-31,IWM,1.9086519549990812,0.05725955864997243
2011-01-31,EFA,-0.08122839300238194,-0.002436851790071458
2011-01-31,EEM,1.010445528093436,0.030313365842803076
2011-01-31,TLT,-1.6066688398076583,-0.048200065194229744
2011-01-31,IEF,-1.5364815113424288,-0.04609444534027286
2011-01-31,SHY,-1.0616111776264623,-0.031848335328793866
2011-01-31,LQD,-0.3844526098809311,-0.011533578296427933
2011-01-31,HYG,0.1215842231265234,0.0036475266937957018
2011-01-31,GLD,1.4401889022668068,0.0432056670680042
2011-01-31,DBC,0.43060742095480764,0.012918222628644229
2011-01-31,VNQ,2.164289705200952,0.06492869115602856
2011-02-28,SPY,0.779568558090762,0.02338705674272286
2011-02-28,QQQ,1.7453574677699304,0.05236072403309791
2011-02-28,IWM,1.5198584914618134,0.0455957547438544
2011-02-28,EFA,0.586231570971597,0.017586947129147906
2011-02-28,EEM,0.9438807600973204,0.02831642280291961
2011-02-28,TLT,-1.8904522956871783,-0.05671356887061535
2011-02-28,IEF,-1.5837291964586442,-0.047511875893759326
2011-02-28,SHY,-1.1262511271767663,-0.033787533815302986
2011-02-28,LQD,-0.44818005826112717,-0.013445401747833815
2011-02-28,HYG,0.25181214174571354,0.007554364252371406
2011-02-28,GLD,0.60597227267758,0.0181791681803274
2011-02-28,DBC,0.7952816567310642,0.023858449701931926
2011-02-28,VNQ,2.320649758037933,0.06961949274113798
2011-03-31,SPY,0.41193408841492757,0.012358022652447826
2011-03-31,QQQ,1.2473946956419528,0.03742184086925859
2011-03-31,IWM,1.236704767943342,0.03710114303830026
2011-03-31,EFA,0.012666277012971017,0.00037998831038913046
2011-03-31,EEM,-0.2562280816104895,-0.007686842448314684
2011-03-31,TLT,-1.4908462089571841,-0.04472538626871552
2011-03-31,IEF,-1.3523206793604703,-0.04056962038081411
2011-03-31,SHY,-2.057682809929319,-0.06173048429787956
2011-03-31,LQD,-0.3560275171362629,-0.010680825514087887
2011-03-31,HYG,0.4208541036962742,0.012625623110888225
2011-03-31,GLD,2.180786261294121,0.06542358783882363
2011-03-31,DBC,2.1055914403673954,0.06316774321102187
2011-03-31,VNQ,1.3971736626227398,0.04191520987868219
2011-04-29,SPY,0.6823121580267103,0.02046936474080131
2011-04-29,QQQ,1.2388645977690254,0.03716593793307076
2011-04-29,IWM,1.3828280716156973,0.04148484214847092
2011-04-29,EFA,0.6804997492294598,0.020414992476883793
2011-04-29,EEM,1.0666932440312236,0.032000797320936705
2011-04-29,TLT,-1.857541576240106,-0.05572624728720318
2011-04-29,IEF,-1.5837049174080877,-0.04751114752224263
2011-04-29,SHY,-1.2765618736475932,-0.03829685620942779
2011-04-29,LQD,-0.592725062081096,-0.01778175186243288
2011-04-29,HYG,0.21846009193586513,0.006553802758075954
2011-04-29,GLD,1.6404126758946649,0.04921238027683995
2011-04-29,DBC,2.056240355802283,0.06168721067406849
2011-04-29,VNQ,0.8442224850719529,0.025326674552158583
2011-05-31,SPY,0.8675003288491532,0.026025009865474593
2011-05-31,QQQ,1.0437522858134232,0.03131256857440269
2011-05-31,IWM,1.3207180349210175,0.03962154104763052
2011-05-31,EFA,1.3263296653670373,0.03978988996101112
2011-05-31,EEM,1.2901797733537492,0.038705393200612476
2011-05-31,TLT,-1.0831807224922811,-0.03249542167476843
2011-05-31,IEF,-0.8211693068605324,-0.02463507920581597
2011-05-31,SHY,-1.0198690375105974,-0.03059607112531792
2011-05-31,LQD,-0.466861945621348,-0.014005858368640439
2011-05-31,HYG,0.15380762225541583,0.0046142286676624745
2011-05-31,GLD,0.7116139132513208,0.021348417397539624
2011-05-31,DBC,2.1163377263476417,0.06349013179042926
2011-05-31,VNQ,1.0608416623259964,0.031825249869779894
2011-06-30,SPY,1.0520187151530593,0.03156056145459178
2011-06-30,QQQ,1.376887555290678,0.04130662665872034
2011-06-30,IWM,1.5328502037781806,0.04598550611334542
2011-06-30,EFA,1.0054987194632177,0.03016496158389653
2011-06-30,EEM,0.8805546845304122,0.026416640535912365
2011-06-30,TLT,-1.110747424670803,-0.033322422740124084
2011-06-30,IEF,-0.7700183236451408,-0.023100549709354223
2011-06-30,SHY,-1.012712059194743,-0.03038136177584229
2011-06-30,LQD,-0.5564334128344806,-0.016693002385034416
2011-06-30,HYG,0.022454179025314047,0.0006736253707594214
2011-06-30,GLD,0.8971914010436088,0.026915742031308264
2011-06-30,DBC,1.7912809385198403,0.05373842815559521
2011-06-30,VNQ,1.3911748235408603,0.041735244706225805
2011-07-29,SPY,1.0387843022569676,0.031163529067709028
2011-07-29,QQQ,1.3193448370589085,0.03958034511176725
2011-07-29,IWM,1.670002208366837,0.05010006625100511
2011-07-29,EFA,0.7152644744544054,0.021457934233632164
2011-07-29,EEM,0.5570057787787015,0.016710173363361044
2011-07-29,TLT,-1.1812672229102723,-0.035438016687308165
2011-07-29,IEF,-0.6908343874413543,-0.020725031623240627
2011-07-29,SHY,-0.8511565178763101,-0.0255346955362893
2011-07-29,LQD,-0.5601690352013045,-0.016805071056039133
2011-07-29,HYG,-0.0034930531196162296,-0.00010479159358848688
2011-07-29,GLD,1.65669572430442,0.0497008717291326
2011-07-29,DBC,1.6977430219984533,0.0509322906599536
2011-07-29,VNQ,1.1320798693301635,0.0339623960799049
2011-08-31,SPY,-0.23607533901071104,-0.007082260170321331
2011-08-31,QQQ,0.5552550665246785,0.016657651995740354
2011-08-31,IWM,0.33288196346850385,0.009986458904055116
2011-08-31,EFA,-0.7573442429968406,-0.022720327289905216
2011-08-31,EEM,-0.780612317348532,-0.023418369520455957
2011-08-31,TLT,-0.9087176421682925,-0.027261529265048774
2011-08-31,IEF,-0.49232744487829605,-0.014769823346348881
2011-08-31,SHY,-0.7677907185907258,-0.02303372155772177
2011-08-31,LQD,-0.3520502735527866,-0.010561508206583598
2011-08-31,HYG,-0.9797259606742811,-0.02939177882022843
2011-08-31,GLD,2.102031548822149,0.06306094646466447
2011-08-31,DBC,2.194365617641255,0.06583096852923764
2011-08-31,VNQ,0.5901097427638807,0.017703292282916422
2011-09-30,SPY,-0.6222721108795913,-0.018668163326387738
2011-09-30,QQQ,-0.17621388719731124,-0.005286416615919337
2011-09-30,IWM,-0.6323869763501739,-0.018971609290505217
2011-09-30,EFA,-1.4458004982490782,-0.043374014947472346
2011-09-30,EEM,-1.7762504097380332,-0.053287512292140994
2011-09-30,TLT,0.17473664441799325,0.005242099332539797
2011-09-30,IEF,0.2512920624816998,0.007538761874450993
2011-09-30,SHY,-0.27193466138284705,-0.008158039841485411
2011-09-30,LQD,0.0013958475211559018,4.1875425634677055e-05
2011-09-30,HYG,-0.9091899357272726,-0.027275698071818177
2011-09-30,GLD,3.146690451630537,0.0944007135489161
2011-09-30,DBC,0.9304671022880577,0.027914013068641733
2011-09-30,VNQ,-0.17053362881513606,-0.005116008864454082
2011-10-31,SPY,-0.7839743495570028,-0.023519230486710084
2011-10-31,QQQ,0.5356370977198632,0.016069112931595898
2011-10-31,IWM,-1.1119550439863923,-0.033358651319591766
2011-10-31,EFA,-1.665867440483879,-0.049976023214516364
2011-10-31,EEM,-2.4743307694303276,-0.07422992308290982
2011-10-31,TLT,2.520699070002022,0.07562097210006066
2011-10-31,IEF,1.2064756091549445,0.036194268274648334
2011-10-31,SHY,0.5044267839077031,0.015132803517231093
2011-10-31,LQD,0.7859751773505141,0.023579255320515424
2011-10-31,HYG,0.2740737457346801,0.008222212372040402
2011-10-31,GLD,2.05014026690416,0.0615042080071248
2011-10-31,DBC,-0.4361118217010419,-0.013083354651031257
2011-10-31,VNQ,0.09481167438475568,0.0028443502315426703
2011-11-30,SPY,-0.6950395384572452,-0.020851186153717356
2011-11-30,QQQ,0.7379046747872844,0.02213714024361853
2011-11-30,IWM,-1.2282087525588286,-0.036846262576764856
2011-11-30,EFA,-1.689495363788847,-0.050684860913665405
2011-11-30,EEM,-2.3785352888605087,-0.07135605866581526
