date,strategy,solver_status,solver_success,objective_value,full_weight_sum,risky_weight_sum,cash_weight,min_risky_weight,max_risky_weight,turnover,transaction_cost,constraint_valid,target_volatility_violation,predicted_volatility,target_volatility,covariance_estimator,cov_min_eigenvalue_before,cov_min_eigenvalue_after,cov_psd_repaired,alpha_scale,momentum_lookback_days,momentum_skip_days,trend_window_days,covariance_lookback_days,stress_ewma_span_days,stress_short_window_days,stress_reference_window_days,sigma_ewma_short,sigma_ew_63d,sigma_ew_252d,v_t,rho_t,rho_mode,market_state_mode,effective_target_volatility,target_volatility_mode,lambda_tc,eta_l2,fallback_used,robust_penalty,solver_time_seconds,risk_aversion
2011-01-31,Equal Weight,,True,,1.0000000000000004,1.0000000000000004,0.0,0.07692307692307694,0.07692307692307694,1.0000000000000002,0.0010000000000000002,True,0.0,0.063240082976223,,ewma,4.144709098278421e-06,4.144709098278451e-06,False,0.03,252,21,200,20,20,63,252,,0.08802347648017998,0.11009929442141708,0.7994917400947231,0.03997458700473616,dynamic,standard,,n/a,0.001,0.01,False,,,
2011-01-31,Minimum Variance,optimal,True,0.0013393949162749243,1.0,1.0,0.0,1.0286936631591622e-08,0.24999999059290576,1.0,0.001,True,0.0,0.03659774468836742,,sample,4.414334751468781e-05,4.414334751468767e-05,False,0.03,252,21,200,252,20,63,252,,0.08802347648017998,0.11009929442141708,0.7994917400947231,0.03997458700473616,dynamic,standard,,n/a,0.001,0.01,False,,0.014587958999999984,
2011-01-31,Traditional MVO,optimal,True,0.25042315715073454,1.0,1.0,0.0,0.0,0.2500000000408574,1.0,0.001,True,0.0,0.17922663233230163,,sample,4.414334751468781e-05,4.414334751468767e-05,False,0.03,252,21,200,252,20,63,252,,0.08802347648017998,0.11009929442141708,0.7994917400947231,0.03997458700473616,dynamic,standard,,n/a,0.001,0.01,False,,0.003109833999999978,1.0
2011-01-31,Proposed Strategy,optimal,True,0.044121021609839564,1.0,0.9999999972552374,2.7447626334482565e-09,0.0,0.24999999872486314,0.9999999972552374,0.0009999999972552375,True,0.0,0.10951302936325295,0.16,ewma,4.144709098278421e-06,4.144709098278451e-06,False,0.03,252,21,200,20,20,63,252,0.0668447338078377,0.08802347648017998,0.11009929442141708,0.6071313550110701,0.04857050840088561,dynamic,ewma,0.16,inverse_vt,0.001,0.01,False,0.005319103512694308,0.005356958000000134,
2011-02-28,Equal Weight,,True,,1.0000000000000004,1.0000000000000004,0.0,0.07692307692307694,0.07692307692307694,0.009053946239357097,9.053946239357097e-06,True,0.0,0.07043087782955297,,ewma,1.5730430677883152e-06,1.5730430677886737e-06,False,0.03,252,21,200,20,20,63,252,,0.06400382142658419,0.10643877815992513,0.6013205199557808,0.030066025997789042,dynamic,standard,,n/a,0.001,0.01,False,,,
2011-02-28,Minimum Variance,optimal,True,0.001276402524848481,1.0,1.0,0.0,1.7652806385586216e-08,0.24999998459882414,0.019374790649145927,1.9374790649145928e-05,True,0.0,0.035726776020912974,,sample,4.226351764819833e-05,4.226351764819863e-05,False,0.03,252,21,200,252,20,63,252,,0.06400382142658419,0.10643877815992513,0.6013205199557808,0.030066025997789042,dynamic,standard,,n/a,0.001,0.01,False,,0.0026623749999998836,
2011-02-28,Traditional MVO,optimal,True,0.25928656728110067,1.0,1.0,0.0,1.1934228546010202e-10,0.24999999969064476,0.058904836131698154,5.890483613169816e-05,True,0.0,0.16967090204262525,,sample,4.226351764819833e-05,4.226351764819863e-05,False,0.03,252,21,200,252,20,63,252,,0.06400382142658419,0.10643877815992513,0.6013205199557808,0.030066025997789042,dynamic,standard,,n/a,0.001,0.01,False,,0.0031365829999998596,1.0
2011-02-28,Proposed Strategy,optimal,True,0.038336769846292085,1.0000000000000002,0.9999999979744403,2.02555983785366e-09,0.0,0.2499999994560161,0.1953307622984257,0.0001953307622984257,True,0.0,0.12751843956713257,0.1415088503103322,ewma,1.5730430677883152e-06,1.5730430677886737e-06,False,0.03,252,21,200,20,20,63,252,0.07521704679707483,0.06400382142658419,0.10643877815992513,0.7066695813067359,0.05653356650453887,dynamic,ewma,0.1415088503103322,inverse_vt,0.001,0.01,False,0.0072090721838235115,0.004916291999999878,
2011-03-31,Equal Weight,,True,,1.0000000000000004,1.0000000000000004,0.0,0.07692307692307694,0.07692307692307694,0.008138548191713842,8.138548191713842e-06,True,0.0,0.07816443616719622,,ewma,5.1067001905205956e-06,5.106700190521222e-06,False,0.03,252,21,200,20,20,63,252,,0.07160505254878635,0.10718918386725096,0.6680249813028339,0.0334012490651417,dynamic,standard,,n/a,0.001,0.01,False,,,
2011-03-31,Minimum Variance,optimal,True,0.0012568098252711513,1.0,1.0,0.0,6.991164863044483e-08,0.24999994336148715,0.008295106078142177,8.295106078142177e-06,True,0.0,0.035451513723269296,,sample,4.400657327052646e-05,4.400657327052778e-05,False,0.03,252,21,200,252,20,63,252,,0.07160505254878635,0.10718918386725096,0.6680249813028339,0.0334012490651417,dynamic,standard,,n/a,0.001,0.01,False,,0.002685625000000247,
2011-03-31,Traditional MVO,optimal,True,0.22325143479738419,1.0,1.0,0.0,0.0,0.2500000000127376,0.19351185512357527,0.00019351185512357527,True,0.0,0.16720672596592415,,sample,4.400657327052646e-05,4.400657327052778e-05,False,0.03,252,21,200,252,20,63,252,,0.07160505254878635,0.10718918386725096,0.6680249813028339,0.0334012490651417,dynamic,standard,,n/a,0.001,0.01,False,,0.0028541250000002627,1.0
2011-03-31,Proposed Strategy,optimal,True,0.04285969156539845,1.0,0.9999999991322459,8.677541373588862e-10,0.0,0.2499999994677565,0.3261024954247135,0.0003261024954247135,True,0.0,0.11754799872039286,0.14318029295438192,ewma,5.1067001905205956e-06,5.106700190521222e-06,False,0.03,252,21,200,20,20,63,252,0.07486308461556372,0.07160505254878635,0.10718918386725096,0.6984201382508736,0.05587361106006988,dynamic,ewma,0.14318029295438192,inverse_vt,0.001,0.01,False,0.006567831161392824,0.00461287499999985,
2011-04-29,Equal Weight,,True,,1.0000000000000004,1.0000000000000004,0.0,0.07692307692307694,0.07692307692307694,0.008238562948736525,8.238562948736526e-06,True,0.0,0.06040993756941683,,ewma,2.7102066745236534e-05,2.7102066745236714e-05,False,0.03,252,21,200,20,20,63,252,,0.07163518836325443,0.10566769408986444,0.6779289448895585,0.03389644724447793,dynamic,standard,,n/a,0.001,0.01,False,,,
2011-04-29,Minimum Variance,optimal,True,0.0012242394696731834,1.0,1.0,0.0,2.5761510310961407e-09,0.24999999803158932,0.015200492496375824,1.5200492496375825e-05,True,0.0,0.03498913359420585,,sample,4.305161381751576e-05,4.3051613817515484e-05,False,0.03,252,21,200,252,20,63,252,,0.07163518836325443,0.10566769408986444,0.6779289448895585,0.03389644724447793,dynamic,standard,,n/a,0.001,0.01,False,,0.002725707999999827,
2011-04-29,Traditional MVO,optimal,True,0.2328608986208463,1.0,1.0,0.0,1.4482164057160024e-09,0.24999999840328388,0.11321457392890708,0.00011321457392890708,True,0.0,0.15690201427479786,,sample,4.305161381751576e-05,4.3051613817515484e-05,False,0.03,252,21,200,252,20,63,252,,0.07163518836325443,0.10566769408986444,0.6779289448895585,0.03389644724447793,dynamic,standard,,n/a,0.001,0.01,False,,0.002823000000000242,1.0
2011-04-29,Proposed Strategy,optimal,True,0.04007765435746884,1.0,0.9999999999355336,6.446638151076063e-11,0.0,0.24999999985242194,0.2587230721870763,0.0002587230721870763,True,0.0,0.09659296515645215,0.16,ewma,2.7102066745236534e-05,2.7102066745236714e-05,False,0.03,252,21,200,20,20,63,252,0.06223491900793011,0.07163518836325443,0.10566769408986444,0.5889682702359607,0.04711746161887685,dynamic,ewma,0.16,inverse_vt,0.001,0.01,False,0.004551215328412642,0.004682583000000129,
2011-05-31,Equal Weight,,True,,1.0000000000000004,1.0000000000000004,0.0,0.07692307692307694,0.07692307692307694,0.009576858600140833,9.576858600140834e-06,True,0.0,0.08729296663720126,,ewma,5.429362596954091e-06,5.429362596953968e-06,False,0.03,252,21,200,20,20,63,252,,0.07868836475083832,0.09255821573769854,0.8501499745180254,0.042507498725901274,dynamic,standard,,n/a,0.001,0.01,False,,,
