Date,Equal Weight,Minimum Variance,Proposed Strategy,Traditional MVO
2011-01-31,1.0000000000000002,1.0,0.9999999972552374,1.0
2011-02-28,0.009053946239357097,0.019374790649145927,0.1953307622984257,0.058904836131698154
2011-03-31,0.008138548191713842,0.008295106078142177,0.3261024954247135,0.19351185512357527
2011-04-29,0.008238562948736525,0.015200492496375824,0.2587230721870763,0.11321457392890708
2011-05-31,0.009576858600140833,0.09555748091486302,0.47741090759903115,0.36969225516366544
2011-06-30,0.004996713794224207,0.022488978741203102,0.3244489219841168,0.25507747698980365
2011-07-29,0.012520133425214061,0.033583362861603815,0.1576614071676487,0.2499999895141763
2011-08-31,0.02780556876660291,0.09923868205250175,0.5449949865542603,0.26510616529592246
2011-09-30,0.03405374959559679,0.042832121839289417,0.19386033304674252,0.5020378934630496
2011-10-31,0.02409765319807408,0.07941885595739541,0.7161310089906138,0.26609734701743915
2011-11-30,0.007933942113865104,0.023523009997512046,0.35125378597671986,0.29064751646932596
2011-12-30,0.015662702593966245,0.02843460390917553,0.12001461865948841,0.02644397534427304
2012-01-31,0.015354299880793162,0.01909509835687478,0.06872657864429886,0.02060990557527105
2012-02-29,0.013329732581464707,0.01714132183193486,0.0833344796683745,0.25422174849128565
2012-03-30,0.012019867324735464,0.018044386744287617,0.33182191689793833,0.1459020801448944
2012-04-30,0.008379334924883047,0.009514738952848649,0.009123033847693633,0.2538871417913806
2012-05-31,0.02427994203270889,0.01778214774138453,0.27081579025471497,0.13416537703117826
2012-06-29,0.010837096487302599,0.02457037254107099,0.26379594191158573,0.1437250557557838
2012-07-31,0.0069595982098682035,0.022723328979768434,0.23579527897151317,0.004318295500452948
2012-08-31,0.010110937696240961,0.014414437434101732,0.26752287880502834,0.2579280911134036
2012-09-28,0.009365031892372068,0.020106782007869924,0.2540600483745613,0.2540600191296911
2012-10-31,0.008016291930761796,0.048229329001222856,0.2570164013397649,0.4999993051596758
2012-11-30,0.003940496558887452,0.03351597374212278,0.2526888907305076,0.5011178655589041
2012-12-31,0.011352579276587282,0.02329017246740543,0.26150431897080056,0.5059076503453831
2013-01-31,0.011977318264408579,0.014052154460140699,0.2108798091601178,0.4999999648042453
2013-02-28,0.00911372193881748,0.0032868141778666002,0.18128731777182028,0.24999993936428097
2013-03-28,0.006931942111501846,0.0023734553173243573,0.19775766918600618,0.13384222618195302
2013-04-30,0.012684419609659832,0.00902234284550353,0.18871623564546644,0.26050360042550297
2013-05-31,0.014740923065616252,0.021518611348994517,0.3826423342837677,0.2558977084567478
2013-06-28,0.008594305128614643,0.035939468126360945,0.6280049319286637,0.003717945332704364
2013-07-31,0.012691366236947589,0.09723745374577673,0.6728203779287835,0.0037223707589785623
2013-08-30,0.009614122434417297,0.03776269549086191,0.22650669318893185,0.004868954384506069
2013-09-30,0.014728922409068736,0.024440904191378572,0.22491617391460883,0.0074793800025277045
2013-10-31,0.007688064031793715,0.07721103112566569,0.0639521646277476,0.004704635014443808
2013-11-29,0.010572936166890097,0.03944468922834088,0.06335625016494838,0.0053720221683382936
2013-12-31,0.007275946048934542,0.03902613196626589,0.0016138594791603041,0.0016138595177431381
2014-01-31,0.01740790974413578,0.017322048029889417,0.24550164152198087,0.005213434882972323
2014-02-28,0.009586205911710284,0.007733299925805889,0.24496200313989253,0.0023242178581905234
2014-03-31,0.0053061121222423915,0.00813873092881013,0.004927579248406771,0.004927578882161258
2014-04-30,0.004876544258472372,0.03398624064006782,0.008338843273289433,0.008338843197343083
2014-05-30,0.0069328418871327235,0.012683544282409977,0.005407020768046751,0.005407020706141457
2014-06-30,0.007922399344632854,0.07617084221692998,0.006576243921231917,0.00657624303073454
2014-07-31,0.009742154063964469,0.029883848603544934,0.2510188761015934,0.2510188790603038
2014-08-29,0.007874562696989343,0.03579814867040875,0.32729886072403414,0.25039245562061463
2014-09-30,0.012573741670310938,0.03977991094603842,0.2553495087360392,0.2553494615960692
2014-10-31,0.011817424020165043,0.031709025487541405,0.19996115016896998,0.013163533077846066
2014-11-28,0.009993763976812356,0.04529457927408327,0.18760600995415688,0.0035925908535502514
2014-12-31,0.01260407724448677,0.026101377860883047,0.1350711429936894,0.009498812954243804
2015-01-30,0.01928043401948546,0.019784812472651493,0.1500963309665429,0.0263748849250242
2015-02-27,0.020830344818749298,0.02885656762639796,0.10420306117209467,0.028104321957230432
2015-03-31,0.008189066166286132,0.039532652627136275,0.4859165898263582,0.008465596870722326
2015-04-30,0.013690266938687294,0.02642579622832503,0.4879925505846631,0.015469309712074528
2015-05-29,0.00727736891140443,0.0071256037554105435,0.49709695567759954,0.1472580400134419
2015-06-30,0.006619171190366979,0.026228437854751888,0.2546465002077717,0.10829962451550779
2015-07-31,0.019307997173876094,0.008550499891593538,0.2573570361061832,0.009687487543628342
2015-08-31,0.01803712423508643,0.03110774777614454,0.7081142824138306,0.4210312928544846
