Date,SPY,QQQ,IWM,EFA,EEM,TLT,IEF,SHY,LQD,HYG,GLD,DBC,VNQ,BIL
2010-01-04,84.5784912109375,40.246559143066406,51.24469757080078,34.581207275390625,30.194557189941406,55.70952606201172,61.34270858764648,65.62312316894531,57.43209457397461,34.39797592163086,109.8000030517578,21.338844299316406,23.552101135253903,73.88453674316406
2010-01-05,84.80238342285156,40.246559143066406,51.06849670410156,34.6116828918457,30.413732528686523,56.069332122802734,61.612083435058594,65.70211029052734,57.70638275146485,34.561153411865234,109.6999969482422,21.364208221435547,23.525663375854492,73.86841583251953
2010-01-06,84.86207580566406,40.003787994384766,51.020416259765625,34.75798797607422,30.47735023498535,55.31877899169922,61.36343002319336,65.71002197265625,57.53631591796875,34.650508880615234,111.51000213623048,21.744653701782227,23.48337173461914,73.86841583251953
2010-01-07,85.2203140258789,40.02980041503906,51.39688491821289,34.62388610839844,30.30060386657715,55.411766052246094,61.36343002319336,65.6941909790039,57.60764694213867,34.79039001464844,110.81999969482422,21.47411346435547,23.73712921142578,73.86841583251953
2010-01-08,85.50389862060547,40.359275817871094,51.67720413208008,34.8981819152832,30.54097366333008,55.38698959350586,61.439449310302734,65.75739288330078,57.733829498291016,34.84480285644531,111.37000274658205,21.457204818725582,23.562658309936523,73.86841583251953
2010-01-11,85.62330627441406,40.19453430175781,51.46897506713867,35.184688568115234,30.47735023498535,55.08303451538086,61.48087692260742,65.78897857666016,57.79417037963867,34.81370162963867,112.8499984741211,21.38957405090332,23.700122833251953,73.86841583251953
2010-01-12,84.82474517822266,39.691673278808594,50.90830612182617,34.770179748535156,29.98954200744629,56.02587890625,61.92285919189453,65.84427642822266,57.903865814208984,34.63496398925781,110.48999786376952,20.93303680419922,23.303621292114254,73.86841583251953
2010-01-13,85.54120635986328,40.18585205078125,51.5650749206543,35.062782287597656,30.081445693969727,55.37457275390625,61.62589263916016,65.78897857666016,57.66251373291016,34.71269989013672,111.54000091552734,20.9499454498291,23.774131774902344,73.90065002441406
2010-01-14,85.7725830078125,40.22053909301758,51.75730514526367,35.33097839355469,30.003684997558594,56.149940490722656,61.91595077514648,65.85222625732422,57.87092971801758,34.75156021118164,112.02999877929688,20.84003639221191,23.75299072265625,73.88453674316406
2010-01-15,84.80980682373047,39.75237274169922,51.004425048828125,34.77627944946289,29.65727424621582,56.497283935546875,62.19225311279297,65.90753173828125,57.84897232055664,34.61166763305664,110.86000061035156,20.603315353393555,23.573246002197266,73.88453674316406
2010-01-19,85.86959075927734,40.39396667480469,51.9415168762207,35.11763000488281,30.25818634033203,56.33602523803711,62.08171463012695,65.9233169555664,57.89837646484375,34.62720489501953,111.5199966430664,20.738584518432617,24.0543270111084,73.88453674316406
2010-01-20,84.99639129638672,39.81305694580078,51.18862533569336,34.221561431884766,29.530012130737305,56.90670394897461,62.295867919921875,65.9233169555664,57.85996627807617,34.57670974731445,108.94000244140624,20.34968376159668,23.784711837768555,73.88453674316406
2010-01-21,83.36201477050781,39.44022750854492,50.34763717651367,33.49007034301758,28.639238357543945,57.16726303100586,62.523685455322266,65.97859954833984,58.013545989990234,34.0366096496582,107.37000274658205,20.096052169799805,23.10272216796875,73.88453674316406
2010-01-22,81.50369262695312,38.287113189697266,49.44257354736328,32.837825775146484,28.002973556518555,57.0679817199707,62.578956604003906,66.03390502929688,57.92581558227539,33.7141227722168,107.16999816894533,19.884695053100582,22.52120018005371,73.88453674316406
