Transaction Cost Rate,Annualized Return,Annualized Volatility,Sharpe Ratio,Maximum Drawdown,Average Turnover,Annualized Cost Drag,Final Net Value
0 bps,0.10142422266596318,0.10221813579485545,0.9964728067482754,-0.1566250953660786,0.2773368443604084,0.0,4.246073004196742
5 bps,0.09959191262078226,0.10219871572432755,0.9803454152324238,-0.15681157990904482,0.2773368443604084,0.0018323100451809182,4.141561523334779
10 bps,0.09776228062726733,0.10218249696405762,0.9641816852895235,-0.15699806445201037,0.2773368443604084,0.0036619420386958534,4.039602066477292
25 bps,0.09228941891015396,0.10215306228802326,0.9154873991632885,-0.15755751808090857,0.2773368443604084,0.009134803755809218,3.748425026264678
