Strategy,Average Turnover,Median Turnover,Maximum Turnover,Annualized Transaction Cost Drag,Total Transaction Cost Drag,Turnover During Max Drawdown
Equal Weight,0.01701977546832651,0.01021614280748855,1.0000000000000002,0.0002182878278611522,0.00834519198735828,0.014256524864824049
Minimum Variance,0.03378884090892911,0.019917389233951296,1.0,0.0004192504126212526,0.009683172899392911,0.024357542565879735
Traditional MVO,0.19018169587208134,0.21897716065741057,1.0,0.0024965653802173637,0.1299226658629684,0.11837490996643106
Proposed Strategy,0.2773368443604084,0.25579762404347584,0.9999999972552374,0.0036619420386958534,0.20647093771945002,0.44505045000096216
