Date,Top 3 Score Equal-Weight Return,Bottom 3 Score Equal-Weight Return,Top-minus-Bottom Return,Cumulative Top-minus-Bottom Return
2011-01-31,0.04469339523339714,0.004401390136670662,0.04029200509672648,0.04029200509672659
2011-02-28,0.0015468535364808005,-0.0008507419172500604,0.002397595453730861,0.042786204478699075
2011-03-31,0.06415689422670774,0.015714735751461168,0.04844215847524658,0.09330101905185706
2011-04-29,-0.029194449445451392,0.020974558432635588,-0.05016900787808698,0.03845119161392385
2011-05-31,-0.02626574726041453,-0.009440351906892816,-0.016825395353521712,0.020978839759683954
2011-06-30,0.009052964313871481,0.026233937957196085,-0.017180973643324604,0.00343742922338075
2011-07-29,0.009957520845438883,0.04887864150104545,-0.038921120655606566,-0.03561748002977416
2011-08-31,-0.12175431811404643,-0.033299753418170965,-0.08845456469587545,-0.12092151603405188
2011-09-30,0.0407838824228716,0.11462317608847757,-0.07383929366560596,-0.18583205036672923
2011-10-31,0.014121003057946687,-0.015050077562819878,0.029171080620766565,-0.16208189146913288
2011-11-30,-0.017433010490692052,-0.01974911653550382,0.002316106044811767,-0.16014118427290724
2011-12-30,0.03975831599359544,0.07802115019767782,-0.03826283420408238,-0.19227656289390993
2012-01-31,-0.02220584559841395,0.05152990688864848,-0.07373575248706243,-0.2518346583303639
2012-02-29,-0.023827023413726556,-0.014885829691924016,-0.00894119372180254,-0.25852414958617076
2012-03-30,0.020579664862169927,-0.017102350652400473,0.0376820155145704,-0.23058384508719765
2012-04-30,0.016183006855254017,-0.11002689742886462,0.12620990428411863,-0.13347590582099822
2012-05-31,0.02486718031359747,0.04699764920046542,-0.022130468886867947,-0.15265249032694805
2012-06-29,0.029005002052203837,0.01959934911430154,0.009405652937902298,-0.14468263373316748
2012-07-31,0.012837792573413035,0.030867716401562717,-0.018029923828149684,-0.1601039406958521
2012-08-31,-0.011691875328241156,0.03169139247699393,-0.04338326780523508,-0.19654137636520552
2012-09-28,-0.027855413759453995,-0.011361453552151976,-0.016493960207302018,-0.2097935909316514
2012-10-31,0.007346273219186239,0.020984990099869243,-0.013638716880683004,-0.22057099242223577
2012-11-30,0.01383079065099524,-0.01180276758901122,0.02563355824000646,-0.2005914535625407
2012-12-31,0.03839682849565026,-0.0022991072056837516,0.04069593570133401,-0.16805877475762487
2013-01-31,0.004010824774937342,-0.009051802907850607,0.013062627682787948,-0.15719143627832133
2013-02-28,0.026582280735044355,0.00397220879928432,0.022610071935760034,-0.13813547402449955
2013-03-28,0.03591287518081946,-0.029443678012156787,0.06535655319297624,-0.08180697928744252
2013-04-30,0.0010512594004051061,-0.026310552798086733,0.02736181219849184,-0.056683554292739635
2013-05-31,-0.019981185976502225,-0.057176360324461495,0.03719517434795927,-0.021596734629360848
2013-06-28,0.05941604610566135,0.01606447766175001,0.04335156844391134,0.02081858149510074
2013-07-31,-0.02706216499391767,0.022265374852577218,-0.04932753984649489,-0.02953588775964122
2013-08-30,0.058261889159159606,-0.0250263344356213,0.08328822359478091,0.05129234421134443
2013-09-30,0.03436982053931229,0.006216493353965939,0.02815332718534635,0.0808897215453761
2013-10-31,0.026846552931287054,-0.03048838349866878,0.05733493642995584,0.14286246501797284
2013-11-29,0.025136242363547206,-0.01692047669144503,0.04205671905499224,0.19092751062772972
2013-12-31,-0.027400196747673244,0.02227306166346384,-0.04967325841113708,0.13177026064338615
2014-01-31,0.04827624906117878,0.04890754312340443,-0.0006312940622256527,0.13105578079803837
2014-02-28,-0.008841580462483734,0.00231654811183842,-0.011158128574322154,0.11843531497116344
2014-03-31,-0.011239506448215994,0.011229936003476585,-0.02246944245169258,0.09330469702547828
2014-04-30,0.025306954513956963,0.005746413476279466,0.019560541037677497,0.11469032841833071
2014-05-30,0.02036349531545752,0.019503032789005077,0.0008604625264524435,0.11564947767453382
2014-06-30,-0.009217538396010139,-0.013097005830438416,0.0038794674344282774,0.11997760349140907
2014-07-31,0.030453355973796725,-0.001928133230795474,0.0323814892045922,0.1562441461682511
2014-08-29,-0.027256034002349255,-0.04493675614962126,0.017680722147272007,0.17668737765106157
2014-09-30,0.04978133079568884,-0.023986418361495804,0.07376774915718465,0.26348895696205044
2014-10-31,0.03420310203885054,-0.02979393313150991,0.06399703517036046,0.3443485041781129
2014-11-28,0.009715521245733197,-0.041096536282262765,0.05081205752799596,0.41265761771008647
2014-12-31,0.04861760533426007,-0.019178796256332304,0.06779640159059237,0.5084307208703689
2015-01-30,-0.00864000391872033,0.043313981430293635,-0.051953985349013965,0.43006173329826725
2015-02-27,0.0015506051370512604,-0.032344782838016485,0.03389538797506775,0.47853423057670996
2015-03-31,-0.024501009808272817,0.04610866437740128,-0.0706096741856741,0.3741354102833221
2015-04-30,-0.0014210878324666016,-0.008068235764782586,0.006647147932315985,0.3832694916345092
2015-05-29,-0.012441079355781093,-0.009365113923794799,-0.003075965431986294,0.3790146024951202
2015-06-30,0.019042319738385844,-0.08514015657448153,0.10418247631286737,0.5226837586546662
2015-07-31,-0.0641015167864422,-0.017944208148068224,-0.04615730863837397,0.45240077444780336
2015-08-31,-0.0011101445044633766,-0.027917288752270137,0.02680714424780676,0.491335491514052
2015-09-30,-0.003956751367485523,0.029964084259568535,-0.03392083562705406,0.440748145441612
2015-10-30,-0.0014821814121595,-0.053068215750978864,0.051586034338819364,0.5150706287459532
2015-11-30,-0.00497340336318941,-0.03373457578216832,0.02876117241897891,0.5586458363262463
2015-12-31,-0.05108580271783599,-0.013209635404399086,-0.037876167313436904,0.4996103058471617
2016-01-29,0.00010880369459057941,0.03292594616295149,-0.03281714246836091,0.45039738079315317
2016-02-29,-7.233068346753264e-05,0.08403497371863122,-0.08410730440209875,0.32840836678277663
2016-03-31,0.005886029627156379,0.04533537337916164,-0.03944934375200526,0.27600352847852294
2016-04-29,0.009849166361986406,-0.009622779337431683,0.01947194569941809,0.30084979989732274
2016-05-31,0.07610712102732557,0.021634932327144713,0.05447218870018086,0.3717099356679223
2016-06-30,0.02552351516757123,0.00796848827333041,0.01755502689424082,0.3957903404796701
2016-07-29,-0.02677984148820463,0.010672954444095772,-0.0374527959323004,0.3435140896934088
2016-08-31,-0.00883902027824505,0.019249557890514524,-0.028088578168759572,0.30577668916422573
2016-09-30,-0.04355628814969733,-0.008656282617977388,-0.034900005531719944,0.26020507548920335
2016-10-31,-0.06995331254501724,-0.0019337999101455654,-0.06801951263487167,0.174486540434436
