Alpha Scale,Annualized Return,Annualized Volatility,Sharpe Ratio,Sortino Ratio,Maximum Drawdown,Calmar Ratio,Average Cash Weight,Average Turnover
0.01,0.09332065556081504,0.09318367728885078,1.004321705760611,1.2244769806416487,-0.13788964180998997,0.6767778517360253,0.15902319754327737,0.2709803266325849
0.02,0.09434343854883243,0.10045511137824241,0.947955814329333,1.1804415935875203,-0.15052070434248144,0.6267804748918245,0.10997023551396953,0.27506615044296684
0.03,0.09776228062726733,0.10218249696405762,0.9641816852895235,1.2070624379042252,-0.15699806445201037,0.6226973623432813,0.09836841559025575,0.2773368443604084
0.05,0.10119712808232184,0.1038106207711156,0.9807799614677801,1.2302292275767173,-0.1702089857205904,0.5945463316986319,0.08950249489560701,0.28155188222373995
