Covariance Estimator,Annualized Return,Annualized Volatility,Sharpe Ratio,Maximum Drawdown,Calmar Ratio,Average Cash Weight,Average Turnover,Average Realized / Predicted Volatility Ratio
Sample Covariance,0.09771982016630876,0.1018994004036354,0.966202693411883,-0.1617910163552604,0.6039879244700198,0.10207845046281788,0.28554022714312594,1.213996527115774
Ledoit-Wolf Shrinkage,0.10163139311712333,0.10401610305209193,0.9828490710654807,-0.15084810045414077,0.6737333304904308,0.09724285993444504,0.2767184813865813,1.3101907779975797
Final Implemented Covariance Method,0.09776228062726733,0.10218249696405762,0.9641816852895235,-0.15699806445201037,0.6226973623432813,0.09836841559025575,0.2773368443604084,1.2491503574267515
