Strategy,Annualized Return,Annualized Volatility,Sharpe Ratio,Sortino Ratio,Maximum Drawdown,Calmar Ratio,Final Net Value,Average Turnover,Transaction Cost Drag,Average Cash Weight,Average Risky Exposure,Average Equity Exposure
Equal Weight,0.069325778868645,0.09501893351676022,0.753129202178958,0.9197821697685872,-0.206696254347162,0.33539929926454837,2.7272592473934028,0.01701977546832651,0.0002182878278611522,0.0,1.0,0.3846153846153847
Minimum Variance,0.03132962774685755,0.043372328650753744,0.7329939340933963,0.920556955309491,-0.14645005705665437,0.21392704363875834,1.5868544570237675,0.03378884090892911,0.0004192504126212526,0.0,1.0,0.03842250125055146
Traditional MVO,0.09205760905100147,0.12065190335297706,0.7904657209655954,0.9747642059763978,-0.19577212183816883,0.4702283868951427,3.7365353357146867,0.19018169587208134,0.0024965653802173637,0.0,1.0,0.5446444009872947
Proposed Strategy,0.09776228062726733,0.10218249696405762,0.9641816852895235,1.2070624379042252,-0.15699806445201037,0.6226973623432813,4.039602066477292,0.2773368443604084,0.0036619420386958534,0.09836841559025575,0.9016315844097442,0.4614532873509347
