Strategy,Average Cash Weight,Maximum Cash Weight,Average Risky Exposure,Average Equity Exposure,Average Treasury Exposure,Average Credit Exposure,Average Real Asset Exposure,Cash Weight During Max Drawdown,Equity Exposure During Max Drawdown,Treasury Exposure During Max Drawdown,Credit Exposure During Max Drawdown,Real Asset Exposure During Max Drawdown
Equal Weight,0.0,0.0,1.0,0.3846153846153847,0.2307692307692308,0.15384615384615388,0.2307692307692308,0.0,0.3846153846153847,0.23076923076923084,0.1538461538461539,0.23076923076923084
Minimum Variance,0.0,0.0,1.0,0.03842250125055146,0.5077498649483687,0.3822320933964638,0.07159554040461616,0.0,0.04535947150424965,0.49999993246272667,0.3690391853708075,0.0856014106622163
Traditional MVO,0.0,0.0,1.0,0.5446444009872947,0.14710498564656252,0.03150484700847331,0.2767457663576695,0.0,0.7661357891996716,0.03806846389233143,4.271718178162763e-09,0.19579574263627875
Proposed Strategy,0.09836841559025575,0.8125348368605074,0.9016315844097442,0.4614532873509347,0.14540821414943725,0.06324371980695198,0.23152636310242036,0.034648028370004004,0.14279473049786978,0.3635272786604045,0.24999999673424242,0.20902996573747937
