Rho Setting,Annualized Return,Annualized Volatility,Sharpe Ratio,Maximum Drawdown,Calmar Ratio,Average Cash Weight,Average Turnover
rho_multiplier=0,0.10198360197751533,0.10500613731282846,0.9776075286341668,-0.19319192830643583,0.5278874892524065,0.08924383217743193,0.28100977415447104
rho_multiplier=0.5,0.10164892574911488,0.10386877863561107,0.9842375378930165,-0.17451093566584963,0.5824788306891575,0.09242785555323,0.27891958100798164
rho_multiplier=1,0.09776228062726733,0.10218249696405762,0.9641816852895235,-0.15699806445201037,0.6226973623432813,0.09836841559025575,0.2773368443604084
rho_multiplier=1.5,0.09455818924764547,0.1008214382837482,0.9468257098474383,-0.14736665929565862,0.6416525264234658,0.10549676997957867,0.28226623967815556
rho_multiplier=2,0.09450494712041779,0.09961008588757696,0.9566324845527892,-0.1468373057700192,0.6436031131518727,0.11278525463419296,0.28306939494195676
