Date,annualized_return,annualized_volatility,sharpe_ratio,sortino_ratio,max_drawdown,calmar_ratio,hit_rate,realized_volatility,average_turnover,average_cash_weight,maximum_cash_weight,minimum_cash_weight,average_herfindahl,average_effective_assets,average_predicted_volatility,average_rho_t,average_v_t,solver_failure_count,constraint_violation_count
Equal Weight,0.069325778868645,0.09501893351676022,0.753129202178958,0.9197821697685872,-0.206696254347162,0.33539929926454837,0.5516967126193001,0.09501893351676022,0.01701977546832651,0.0,0.0,0.0,0.07692307692307687,13.000000000000002,0.08028429280251613,0.04769842676242744,0.9539685352485489,0,0
Minimum Variance,0.03132962774685755,0.043372328650753744,0.7329939340933963,0.920556955309491,-0.14645005705665437,0.21392704363875834,0.5501060445387063,0.043372328650753744,0.03378884090892911,0.0,0.0,0.0,0.2177969874396446,4.602841526198339,0.03818951288082591,0.04769842676242744,0.9539685352485489,0,0
Traditional MVO,0.09205760905100147,0.12065190335297706,0.7904657209655954,0.9747642059763978,-0.19577212183816883,0.4702283868951427,0.555408271474019,0.12065190335297706,0.19018169587208134,0.0,0.0,0.0,0.245253724147987,4.08535311791388,0.11618109693948868,0.04769842676242744,0.9539685352485489,0,0
Proposed Strategy,0.09776228062726733,0.10218249696405762,0.9641816852895235,1.2070624379042252,-0.15699806445201037,0.6226973623432813,0.5593849416755037,0.10218249696405762,0.2773368443604084,0.09836841559025575,0.8125348368605074,0.0,0.27789880820942625,3.957609419506269,0.08180159926828462,0.07357034722283388,0.9196293402854236,0,0
